objectid,filename,title,format,type,youtubeid,vimeoid,latitude,longitude,subject,city,county,state,country,organization,description,date_founded,speciality,source,website,facebook,instagram,tiktok,X,youtubechannel,email,phonenumber,address
pi_001,acadian.jpg,Acadiana Paranormal Research Society,image/jpeg,Image;StillImage,,,30.216667,-92.033333,"paranormal investigation, spirituality",Lafayette,,LA,,Acadiana Paranormal Research Society,"Acadiana Paranormal Research Society is made up of members from various spiritual and professional backgrounds. Our goal is to capture evidence of paranormal phenomena using scientific investigative techniques and equipment, while still being aware of, and respectful to, the spiritual side of paranormal investigating. Credit: <a href=""https://acadianaparanormal.wixsite.com/website""> Acadiana Paranormal Research Society </a>",2017,"EVP, spectral orbs, spectral shadows",From organization website 17.11.2024: https://acadianaparanormal.wixsite.com/website,https://acadianaparanormal.wixsite.com/website,https://www.facebook.com/Acadianaparanormal/,,,,,acadianaparanormal@gmail.com,337-414-4472,
pi_002,aspr.jpg,American Society for Psychical Research,image/jpeg,Image;StillImage,,,40.73061,-73.935242,"Paranormal investigation, parapsychology, photography, extrasensory perception, dream studies",New York,,NY,,American Society for Psychical Research,"The American Society for Psychical Research is the oldest psychical research organization in the United States. For more than a century, it's mission has been to explore extraordinary or as yet unexplained phenomena that have been called psychic or paranormal, and their implications for our understanding of consciousness, the universe and the nature of existence.  How is mind related to matter, energy, space and time?  In what unexplained ways do we interconnect with the universe and each other?The ASPR addresses these profoundly important and far-reaching questions with scientific research and related educational activities including lectures, conferences and other information services. Credit: <a href= ""http://www.aspr.com/who.htm""> American Society for Psychical Research </a>",1885,"Paranormal investigation, parapsychology, photography, extrasensory perception, creativity, hypnosis, dreams and states of consciousness, 
telepathy, clairvoyance, precognition, psychokineses, healing, survival after death",From organization website 17.11.2024: http://www.aspr.com/,http://www.aspr.com/,,,,,,aspr@aspr.com,(212) 799-5050,
pi_003,assap.jpg,Association for the Scientific Study of Anomalous Phenomena,image/jpeg,Image;StillImage,,,51.509865,-0.118092,"Paranormal investigation, parapsychology, mysteries, cryptozoology",London,,,United Kingdom,Association for the Scientific Study of Anomalous Phenomena,"
ASSAP is a scientifically-orientated educational and research charity and learned society dedicated to a better understanding of anomalous 
phenomena. As well as education, we carry out investigations and 
research.Anomalous phenomena divide broadly into four areas: 
psychic phenomena (ghosts, telepathy, mediumship, etc.), Fortean 
phenomena (cryptozoology, fish falling from the sky, etc.), Earth 
Mysteries (leys, archaeoastronomy, etc.) and UFOs. As part of our educational remit, this website includes lots of practical information such as:paranormal investigation hintsequipment used on paranormal vigilsan extensive section on paranormal photosarticles on research and previous cases Also, we undertake training for paranormal investigators. Credit: <a href= ""https://www.assap.ac.uk/about/about-assap""> ASSAP </a> ",1981,"Psychic phenomena (ghosts, telepathy, mediumship). Fortean phenomena (cryptozoology, animals falling from sky). UFOs. Earth Mysteries (leys, archeaoastronomy)",From organization website 17.11.2024: https://www.assap.ac.uk/,https://www.assap.ac.uk/,https://www.facebook.com/groups/7552750587/,,,,https://www.youtube.com/channel/UC_-Be960UF5JeZyKOy93PNg/videos,Secretary@assap.ac.uk; investigations@assap.ac.uk ,020 8798 3981,"63/66 Hatton Garden, Fifth Floor Suite 23, London, EC1N 8LE"
pi_004,bigfoot.jpg,Bigfoot UFO Mysterious Paranormal Seekers,image/jpeg,Image;StillImage,,,48.751911,-122.478683,"Paranormal investigation, cryptozoology",Bellingham,,WA,,Bigfoot UFO Mysterious Paranormal Seekers,"BUMPS is a Paranormal research group that seeks out the unexplained to capture evidence and provide our knowledge . We do public and private investigations involving all things paranormal from Bigfoot to UFOs, we research everything that goes bump in the night! Credit: <a href= ""https://bumpsparanormal.weebly.com/""> BUMPS </a>",2017,"Cryptids, UFOs",From organization website 17.11.2024: https://bumpsparanormal.weebly.com/,https://bumpsparanormal.weebly.com/,,,,@Bumpsparanormal,https://www.youtube.com/channel/UCv_5WT8SDc8oDQxBAH_pYgA,bumpsparanormal1@gmail.com,,
pi_005,bnp.jpg,Bloomington Normal Paranormal,image/jpeg,Image;StillImage,,,40.477089,-88.993217,Paranormal investigation,Bloomington-Normal,,IL,,Bloomington Normal Paranormal,"Our mission is to help people understand what they are experiencing.  Not all events are found to be paranormal and may have a number of normal explanations.  Some of these can be discovered over the phone. Others may require a home visit.  Few may require a full investigation. We are paranormal investigators, not exterminators. No one can ""make"" a spirit leave a location or move on. Credit: <a href= ""https://www.bloomingtonnormalparanormal.com/""> Bloomington Normal Paranormal </a>",2012,"Consultation, Investigation, Hauntings, Spirits, Ghosts",From organization website 17.11.2024: https://www.bloomingtonnormalparanormal.com/,https://www.bloomingtonnormalparanormal.com/,,,,,,ghjanine@hotmail.com,309-299-2258,
pi_006,caps.jpg,Capital Area Paranormal Society,image/jpeg,Image;StillImage,,,39.781719,-89.650146,"Paranormal investigation, Cemeteries, Legendary Places, Haunted Places",Springfield,,IL,,Capital Area Paranormal Society,"Capital Area Paranormal Society (CAPS) was founded in 2010.  Since that time we have been on more than 100 investigations, across more than 70 locations, and this website is a collection of the evidence we have have accrued over the years.
At every location, CAPS does its best to collect and review all the 
Video, Audio, and Photographic records we have assembled, as we keep 
searching for the truth one investigation at a time. Credit:<a href= ""https://www.capsinvestigations.com/about""> Capital Area Paranormal Society </a>",2010,"Hauntings, Cemeteries, Location Investigation",From organization website 17.11.2024: https://www.capsinvestigations.com/,https://www.capsinvestigations.com/,,,,,,,,
pi_007,dars.jpg,Death After Life Research Society,image/jpeg,Image;StillImage,,,38.54805,-77.33522,"Paranormal investigation, Music, Film, Photography, Electronic Voice Phenomena",Triangle,,VA,,Death After Life Research Society,"A self-proclaimed medium who has conducted many investigations and produced a wide variety of media related to supernatural phenomena including music, EVP, photography and videos",2015,"Life After Death, Music, Spirituality, EVP, Spectral photography",From organization website 17.11.2024: https://www.darsparanormalinvestigations.com/contact.html,https://www.darsparanormalinvestigations.com/contact.html,,https://www.instagram.com/dar.lloyd/,,,,dar2you2day@gmail.com,,
pi_008,dpi.jpg,Derby Paranormal Investigators,image/jpeg,Image;StillImage,,,52.921902,-1.47564,Paranormal investigation,Derby,,,United Kingdom,Derby Paranormal Investigators,"Derby Paranormal Investigators (DPI) was first formed by lead investigator Mark back in February 2013.  Seeing shadow figures and Experiencing unexplained happenings this made Mark determined to find out the truth.
Inspired by Ghost Adventures Mark decided to act upon his own beliefs and advertised for like minded people to contact and join him at locations to investigate, and so began the team. Credit: <a href= ""https://paranormalderby.co.uk/about.html#/""> Derby Paranormal Investigators </a>",2013,"Investigation and debunking, Ghosts",From organization website 17.11.2024: https://paranormalderby.co.uk/index.html#/,https://paranormalderby.co.uk/index.html#/,facebook.com/derbyparanormal,,,@paranormalderby,https://www.youtube.com/@paranormalderby,info@paranormalderby.co.uk,,
pi_009,ghost_club.jpg,The Ghost Club,image/jpeg,Image;StillImage,,,,,Paranormal investigation,,,,United Kingdom,The Ghost Club,"The Ghost Club is the oldest organisation in the world associated with psychical 
research. It was founded in 1862 but has its roots in Cambridge University where, 
in 1855, fellows at Trinity College began to discuss ghosts and psychic 
phenomena. Past members include Charles Dickens, Siegfried Sassoon, Harry Price, Donald 
Campbell, Peter Cushing, Peter Underwood, Maurice Grosse, Sir Shane Leslie and 
Eric Maple.Today the Ghost Club is a non-profit, social club run by an elected Council 
of volunteers and its purpose remains true to its roots; the Ghost 
Club offers open-minded, curious individuals the opportunity to debate, 
explore and investigate unexplained phenomena with like-minded people and 
record the results for posterity. Credit: <a href= ""https://www.ghostclub.org.uk/history.html""> Ghost Club </a>",1855,"Ghosts, Hauntings, Psychic Phenomena",From organization website 17.11.2024: https://www.ghostclub.org.uk/,https://www.ghostclub.org.uk/,,,,,,gensec@ghostclub.org.uk,,
pi_010,ghost_research_society.jpg,Ghost Research Society,image/jpeg,Image;StillImage,,,41.719978,-87.750557,Paranormal investigation,Oak Lawn,,IL,,Ghost Research Society,"The Ghost Research Society was formed as a clearing house for reports of ghosts, hauntings, poltergeist and life after death encounters. The society members actively research and investigate all reports that come their way including private homes and businesses. The society also analyzes alleged spirit photographs, video and audio tapes that they come across from ordinary people or society members. Credit: <a href= ""https://www.ghostresearch.org/""> Ghost Research Society </a> ",1977,"Ghosts, Hauntings, Poltergeists, Life after death encounters",From organization website 17.11.2024: https://www.ghostresearch.org/,https://www.ghostresearch.org/,,,,,,dale@ghostresearch.org,708-425-5163,"PO Box 205 Oak Lawn, IL 60454-0205"
